Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume
DFS,1.14,7.22,0.0608,0.1607,0.2102,-0.0355,0.6678000000000001,65.08,200.05,0.0,0.00%,0.0,0.0
DG,0.27,2.88,0.0825,0.12369999999999999,0.2027,-0.304,0.529,66.88,101.57,0.009300000000000001,0.69%,0.0024,950896.0
DGX,0.49,3.81,-0.0292,-0.0014000000000000002,0.061399999999999996,-0.0518,0.25980000000000003,44.18,170.67,0.0062,0.36%,0.0025,482304.0
DHI,1.39,3.41,-0.0418,-0.0472,-0.22210000000000002,-0.40700000000000003,0.0731,40.19,118.51,-0.0033,0.46%,-0.0078000000000000005,1139291.0
DHR,0.78,6.63,-0.0478,-0.060599999999999994,-0.20379999999999998,-0.34409999999999996,0.0805,41.6,184.76,-0.014499999999999999,0.22%,-0.0166,1593771.0
DIS,1.53,2.76,0.064,0.1388,0.08810000000000001,-0.0717,0.3749,66.83,110.13,-0.009000000000000001,0.58%,-0.0148,3824034.0
DKNG,1.63,1.45,-0.011000000000000001,-0.0087,-0.08900000000000001,-0.34759999999999996,0.2191,46.69,34.97,0.003,2.00%,-0.0166,3407484.0
DKS,1.09,9.17,-0.10769999999999999,-0.11710000000000001,-0.2024,-0.33799999999999997,0.013000000000000001,36.64,168.53,-0.022400000000000003,0.53%,-0.0276,996940.0
DLR,0.97,3.61,0.016,0.0898,0.0253,-0.1479,0.2983,64.68,168.71,0.0046,0.72%,-0.0026,566830.0
DLTR,0.84,2.87,0.0366,0.1411,0.19210000000000002,-0.2731,0.46520000000000006,62.15,88.63,-0.0149,0.32%,-0.018000000000000002,1045660.0
DOC,1.03,0.42,-0.0363,-0.09609999999999999,-0.1844,-0.27399999999999997,0.0096,33.39,16.8,-0.0015,0.09%,-0.0024,2491547.0
DOCU,1.14,2.99,-0.0040999999999999995,0.0353,0.0916,-0.2094,0.7509999999999999,50.89,85.28,-0.014499999999999999,0.91%,-0.0233,619195.0
DOV,1.28,4.33,0.0001,0.0254,-0.0524,-0.20079999999999998,0.242,50.93,177.66,-0.012199999999999999,0.46%,-0.0167,471018.0
DOW,0.91,1.07,-0.0489,-0.0904,-0.3273,-0.5155,0.1285,38.3,28.28,-0.013600000000000001,0.60%,-0.0195,3891643.0
DRI,0.73,4.31,0.0027,0.0161,0.135,-0.0382,0.49939999999999996,51.61,203.72,-0.0008,0.57%,-0.0064,352971.0
DT,0.91,1.38,0.0641,0.1176,0.0202,-0.15130000000000002,0.3605,68.75,53.47,-0.0134,-0.10%,-0.0124,925441.0
DTE,0.47,2.78,0.0001,0.008,0.0728,-0.03,0.2562,51.76,136.18,0.0116,0.28%,0.0088,327425.0
DTM,0.8,2.79,0.025099999999999997,0.0605,0.11019999999999999,-0.0926,0.588,60.12,103.9,0.0177,2.17%,-0.0039000000000000003,218675.0
DUK,0.36,2.27,-0.019799999999999998,-0.0252,0.0111,-0.0728,0.1707,44.26,116.15,0.005,-0.49%,0.01,1179227.0
