Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
APO,75210000000.0,0.0154,0.0095,0.21170000000000003,0.1201,,,0.56,0.59,0.5618,0.2556,0.1348,May 02/b,131.6,0.0060999999999999995,1054919.0
APP,119980000000.0,,0.35,2.8744,0.46990000000000004,1.68,1.68,6.1,6.45,0.7626999999999999,0.4717,0.3738,May 07/a,354.57,0.0088,3398404.0
APTV,14460000000.0,,0.0667,0.1552,0.0915,1.61,1.11,0.9,0.94,0.19260000000000002,0.11710000000000001,0.0793,May 01/b,66.39,-0.0087,539333.0
AR,12230000000.0,,0.0172,0.0321,0.0218,0.39,0.39,0.46,0.53,0.1235,0.0725,0.049400000000000006,Apr 30/a,39.39,0.0087,1041158.0
ARCC,14850000000.0,0.0891,,,,,,,,,,,Apr 29/b,21.54,0.0008,1276068.0
ARE,11740000000.0,0.0786,0.0034999999999999996,0.0073,0.0043,,,0.74,0.78,0.2999,0.1834,0.042199999999999994,Apr 28/a,67.85,-0.0111,585051.0
ARES,52600000000.0,0.027999999999999997,0.015600000000000001,0.1297,0.02,,,2.99,3.0,0.8245999999999999,0.2825,0.0766,May 05/b,161.07,0.0074,545572.0
ARM,134389999999.99998,,0.094,0.1305,0.1107,5.2,4.96,0.05,0.05,0.9470000000000001,0.20739999999999997,0.1977,May 07/a,127.14,-0.0166,1805633.0
ARMK,10280000000.0,0.010700000000000001,0.026699999999999998,0.1177,0.0371,1.21,1.08,2.11,2.27,0.057999999999999996,0.043899999999999995,0.0197,May 06/b,39.21,0.0085,538586.0
AS,20640000000.0,,0.0242,0.0438,0.0311,1.66,0.8,0.24,0.29,0.5622,0.1074,0.037000000000000005,May 20/b,37.27,-0.0059,1706706.0
ASML,288140000000.0,0.0111,0.20440000000000003,0.5521,0.4078,1.52,0.91,0.21,0.21,0.52,0.33740000000000003,0.2832,Apr 16/b,732.66,-0.0109,841075.0
ASX,21090000000.0,0.039900000000000005,0.0475,0.11470000000000001,0.0755,1.04,0.82,0.5,0.7,0.1563,0.0691,0.056299999999999996,Apr 30/b,9.7,-0.0177,10101248.0
ATI,10720000000.0,,0.08,0.25420000000000004,0.1112,2.53,1.3,0.91,1.01,0.20800000000000002,0.1307,0.08929999999999999,May 01/b,76.01,0.011399999999999999,760019.0
