Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
AZN,218370000000.0,28.29,13.85,2.53,3.97,5.32,40.48,19.04,0.0983,0.128,0.34630000000000005,0.1119,0.1777,70.41,0.0066,2405725.0
B,32830000000.0,14.34,8.5,0.72,2.47,1.34,8.0,18.06,0.4399,0.23850000000000002,-0.1152,0.19920000000000002,0.0672,19.09,0.0227,7099027.0
BA,152450000000.0,,51.18,,2.2,,6.44,,0.9412,4.2957,-0.748,,-0.0154,202.19,-0.006,2665588.0
BABA,288860000000.0,16.19,11.15,1.55,2.09,2.04,4.44,20.24,0.058600000000000006,0.126,-0.0131,0.1043,0.14859999999999998,120.64,-0.0069,5064001.0
BAC,326240000000.0,12.93,10.19,0.89,1.64,1.19,,8.97,0.1362,0.16579999999999998,0.031400000000000004,0.1452,0.1355,43.31,0.0001,19352892.0
BAH,13730000000.0,16.16,14.49,,1.17,11.39,30.27,16.26,0.0738,0.0974,0.0955,,0.09390000000000001,108.4,-0.1605,5980627.0
BALL,14390000000.0,27.52,13.01,2.32,1.2,2.64,31.56,50.32,0.11789999999999999,0.1257,,0.1186,0.015300000000000001,51.88,-0.027000000000000003,1264721.0
BAM,91840000000.0,40.73,29.83,2.74,64.72,10.82,276.61,114.76,0.1343,0.1609,,0.1485,1.7244,56.95,-0.0051,690475.0
BAX,15450000000.0,,11.08,,1.3,2.18,6.74,57.02,0.33039999999999997,0.08109999999999999,,0.16269999999999998,-0.0004,30.11,-0.0052,820242.0
BBD,14800000000.0,8.86,6.31,0.57,0.27,0.99,,0.53,0.2091,0.15130000000000002,-0.1085,0.1563,0.0027,2.79,0.0109,46119166.0
BBVA,87050000000.0,7.83,7.79,2.69,0.97,1.46,,1.99,-0.013999999999999999,0.0368,0.2833,0.0291,0.17129999999999998,15.14,-0.0172,1064727.0
BBY,14920000000.0,16.48,10.51,3.0,0.36,5.31,7.25,10.72,-0.0351,0.0915,-0.057300000000000004,0.055,-0.0066,70.48,-0.004,1866587.0
BCE,19780000000.0,78.15,11.33,,1.13,2.06,27.06,7.32,-0.0641,-0.0466,-0.44799999999999995,-0.0259,-0.0001,21.46,-0.0005,759546.0
BCS,63310000000.0,6.12,6.62,0.31,1.8,0.8,,,0.2146,0.2238,0.20329999999999998,0.1967,0.1412,17.74,0.005699999999999999,11893076.0
BDX,48990000000.0,32.62,11.62,4.79,2.35,1.94,64.21,18.92,0.08130000000000001,0.0356,0.0827,0.0681,0.0472,170.94,-0.008,817229.0
BEKE,21080000000.0,34.79,15.74,2.01,1.52,2.25,2.79,,0.1066,0.24710000000000001,,0.1728,0.1761,18.4,0.0040999999999999995,1972846.0
BEN,11330000000.0,31.22,9.53,8.05,1.3,0.92,3.2,17.08,-0.1481,0.11130000000000001,-0.18460000000000001,0.0388,0.10400000000000001,21.56,-0.0025,1437084.0
BF-B,16040000000.0,16.25,18.45,,3.98,4.2,25.87,30.04,-0.1532,0.0163,0.0438,-0.0242,0.0584,33.99,-0.0070999999999999995,489067.0
BG,10480000000.0,9.88,8.98,,0.2,0.99,2.7,,-0.15460000000000002,0.11779999999999999,,-0.0111,0.0698,77.97,0.0022,379513.0
BHP,126330000000.0,11.13,12.1,,2.36,2.77,12.81,11.73,-0.226,-0.0138,-0.0175,-0.0974,0.06,49.79,0.0129,1079350.0
BIDU,23490000000.0,8.32,7.92,3.12,1.26,0.78,1.2,,-0.0993,0.1033,0.6195,0.026699999999999998,0.0404,83.91,-0.0019,2241787.0
BIIB,18370000000.0,12.38,8.1,,1.95,1.08,7.07,7.54,-0.0969,0.0401,-0.1866,-0.0068000000000000005,-0.0594,125.36,-0.0074,366147.0
BIRK,10030000000.0,37.12,22.07,1.39,4.78,3.32,39.43,32.92,0.3276,0.2613,,0.2676,0.1941,53.38,-0.0304,1966506.0
BJ,15320000000.0,26.96,24.69,3.18,0.74,8.26,387.96,53.67,0.0583,0.09630000000000001,0.24350000000000002,0.08470000000000001,0.09390000000000001,115.99,0.0002,525742.0
BK,63900000000.0,14.56,11.78,1.14,1.6,1.69,,27.92,0.1671,0.1204,0.051399999999999994,0.1277,0.17600000000000002,89.32,0.0016,1418661.0
BKR,36330000000.0,12.53,13.51,1.53,1.31,2.13,8.17,18.06,0.012199999999999999,0.14150000000000001,0.669,0.08199999999999999,0.0375,36.67,0.0023,1741071.0
BLDR,11940000000.0,13.88,11.39,6.58,0.74,2.81,103.53,9.18,-0.3103,0.18969999999999998,0.3674,0.021099999999999997,0.2708,108.07,-0.0161,747430.0
BMRN,11030000000.0,21.34,13.76,0.64,3.78,1.9,8.67,17.67,0.5782,0.1985,,0.3331,0.1118,57.52,-0.0084,519227.0
BMY,95550000000.0,17.63,7.74,0.24,2.01,5.49,8.11,7.3,4.9684,-0.1157,,0.7293000000000001,0.1521,46.95,-0.0017000000000000001,4010034.0
BN,94700000000.0,202.75,12.98,19.65,1.15,2.09,4.34,,-0.0467,0.1732,-0.2974,0.1032,0.058899999999999994,57.48,0.0054,633992.0
BNS,65129999999.99999,14.74,9.48,1.61,1.2,1.27,,34.79,0.0604,0.1306,-0.028900000000000002,0.09140000000000001,0.11720000000000001,52.29,0.0131,733848.0
BNTX,23420000000.0,,,,7.89,1.15,1.58,,-0.9965999999999999,0.0115,-0.2587,-0.2082,8.4154,97.43,-0.0166,301194.0
BP,458350000000.0,,9.8,,2.45,1.31,13.46,44.97,-0.2213,0.16570000000000001,-0.3457,0.0358,0.0341,29.03,0.0033,5255224.0
BRK-B,1086880000000.0001,13.42,23.04,12.2,2.93,1.66,3.13,90.09,-0.059699999999999996,0.0564,0.0443,0.011000000000000001,0.0817,503.58,0.0,1638055.0
BRO,31790000000.0,30.92,24.38,3.46,6.42,4.67,47.52,24.68,0.08960000000000001,0.0876,0.1972,0.08929999999999999,0.1512,110.93,0.0045000000000000005,511646.0
BROS,11250000000.0,177.6,84.37,5.88,8.27,14.29,35.56,348.37,0.2004,0.3785,-0.0987,0.30219999999999997,0.40240000000000004,68.41,-0.0007000000000000001,1168416.0
BSX,154760000000.0,76.65,31.75,5.48,8.82,6.97,186.91,51.35,0.1635,0.1283,-0.1784,0.1399,0.0977,104.61,0.0011,1795548.0
BSY,14400000000.0,60.36,35.72,4.88,10.39,13.1,172.22,33.02,0.09699999999999999,0.1326,0.129,0.12380000000000001,0.13,47.48,-0.0036,338178.0
BTI,99260000000.0,26.82,9.36,6.53,3.0,1.6,13.64,9.47,0.0025,0.062400000000000004,-0.1133,0.041100000000000005,0.0013,45.24,0.014499999999999999,2779686.0
BUD,121130000000.0,24.13,16.55,2.36,2.03,1.55,10.63,10.83,0.049800000000000004,0.1265,-0.0876,0.10220000000000001,0.0305,69.08,0.0108,1032106.0
BURL,14930000000.0,30.42,21.33,1.61,1.4,10.95,15.01,,0.1331,0.2003,0.024399999999999998,0.1893,0.1103,237.04,-0.0851,1020015.0
BWXT,10760000000.0,37.43,30.11,3.14,3.87,9.78,184.65,39.92,0.059800000000000006,0.10800000000000001,0.0379,0.1193,0.0746,117.73,0.09390000000000001,1145355.0
BX,166020000000.0,41.4,21.4,2.1,13.15,20.95,48.83,61.65,0.039,0.3264,0.0362,0.1974,0.214,136.84,-0.0007000000000000001,1234898.0
BXP,11260000000.0,,34.12,,3.28,1.92,23.49,14.68,18.9368,0.0572,-0.513,1.8847,0.0298,64.72,0.0014000000000000002,517028.0
C,136800000000.00002,11.57,7.82,0.47,0.81,0.7,,9.4,0.22219999999999998,0.2904,-0.0582,0.2463,0.1325,73.25,-0.0024,4078991.0
CAG,10650000000.0,32.66,9.32,,0.91,1.21,215.66,7.36,-0.1255,0.0253,-0.1383,-0.0222,0.0496,22.32,0.0003,3522445.0
CAH,36440000000.0,23.84,16.82,2.3,0.16,,10.96,14.94,0.0782,0.1183,-0.053,0.10369999999999999,0.0933,152.68,0.0012,691074.0
